id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker,bookmaker_last_update,market_key,market_last_update,outcomes_name,outcomes_price,outcomes_point
e4339a542fd5b140d60405108bf2781d,soccer_epl,EPL,2024-09-28T14:00:00Z,Arsenal,Leicester City,betonlineag,BetOnline.ag,2024-09-27T17:56:21Z,totals,2024-09-27T17:56:21Z,Under,1.81,3.25
e4339a542fd5b140d60405108bf2781d,soccer_epl,EPL,2024-09-28T14:00:00Z,Arsenal,Leicester City,lowvig,LowVig.ag,2024-09-27T17:57:45Z,totals,2024-09-27T17:57:45Z,Over,2.07,3.25
e4339a542fd5b140d60405108bf2781d,soccer_epl,EPL,2024-09-28T14:00:00Z,Arsenal,Leicester City,lowvig,LowVig.ag,2024-09-27T17:57:45Z,totals,2024-09-27T17:57:45Z,Under,1.81,3.25
e4339a542fd5b140d60405108bf2781d,soccer_epl,EPL,2024-09-28T14:00:00Z,Arsenal,Leicester City,betus,BetUS,2024-09-27T17:57:45Z,totals,2024-09-27T17:57:45Z,Over,1.8,3
e4339a542fd5b140d60405108bf2781d,soccer_epl,EPL,2024-09-28T14:00:00Z,Arsenal,Leicester City,betus,BetUS,2024-09-27T17:57:45Z,totals,2024-09-27T17:57:45Z,Under,2.05,3
4c39ee4d0a8356282f5529e0b336202f,soccer_epl,EPL,2024-09-28T14:00:00Z,Brentford,West Ham United,mybookieag,MyBookie.ag,2024-09-27T17:50:33Z,totals,2024-09-27T17:50:33Z,Over,1.68,2.5
4c39ee4d0a8356282f5529e0b336202f,soccer_epl,EPL,2024-09-28T14:00:00Z,Brentford,West Ham United,mybookieag,MyBookie.ag,2024-09-27T17:50:33Z,totals,2024-09-27T17:50:33Z,Under,2.12,2.5
4c39ee4d0a8356282f5529e0b336202f,soccer_epl,EPL,2024-09-28T14:00:00Z,Brentford,West Ham United,betmgm,BetMGM,2024-09-27T17:54:52Z,totals,2024-09-27T17:54:52Z,Over,1.62,2.5
4c39ee4d0a8356282f5529e0b336202f,soccer_epl,EPL,2024-09-28T14:00:00Z,Brentford,West Ham United,betmgm,BetMGM,2024-09-27T17:54:52Z,totals,2024-09-27T17:54:52Z,Under,2.15,2.5
4c39ee4d0a8356282f5529e0b336202f,soccer_epl,EPL,2024-09-28T14:00:00Z,Brentford,West Ham United,bovada,Bovada,2024-09-27T17:57:44Z,totals,2024-09-27T17:57:44Z,Over,1.85,2.75
